"barcodes" "embedding" "cluster" "membership_prob" "outlier_scores"
"TCGA-DD-AADM-01A-11R-A41C-07" "AADM" 8.64659607188803 1 0.133969354958839 0.325268587063808
"TCGA-DD-A39W-01A-11R-A213-07" "A39W" -10.026180494593 0 0 0.480952453939452
"TCGA-NI-A4U2-01A-11R-A28V-07" "A4U2" -3.26776920968708 2 0.232697848414769 0.238996928570125
"TCGA-4R-AA8I-01A-11R-A38B-07" "AA8I" 2.96244019014575 1 0.312660134516371 0.0207466916505114
"TCGA-DD-A119-01A-11R-A131-07" "A119" 7.91024780756297 1 0.207293504085358 0.262856954262192
"TCGA-UB-A7MD-01A-12R-A352-07" "A7MD" -2.24689235127558 2 0.147622104443924 0.314952561398634
"TCGA-DD-AACG-01A-11R-A41C-07" "AACG" 4.19632300449539 1 0.214244444818883 0.139582616564211
"TCGA-DD-AACH-01A-11R-A41C-07" "AACH" 2.87295833165177 1 0.282600817375782 0.0575989558058786
"TCGA-DD-A114-01A-11R-A131-07" "A114" -4.69443282657234 2 0.386449085536806 0.0482952917086064
"TCGA-BC-A5W4-01A-11R-A28V-07" "A5W4" 3.60563221946466 1 0.28210086094489 0.0582552589505565
"TCGA-DD-A3A2-01A-11R-A213-07" "A3A2" 0.869477019195076 1 0.354568773721085 0.0946547719057065
"TCGA-EP-A2KC-01A-11R-A213-07" "A2KC" 9.60621696772303 0 0 0.503954595358248
"TCGA-G3-AAV1-01A-11R-A38B-07" "AAV1" -10.0060543360888 0 0 0.472815153048692
"TCGA-DD-AACF-01A-11R-A41C-07" "AACF" 3.12666884712667 1 0.28649406030198 0.0524567474585964
"TCGA-DD-A1EF-01A-11R-A131-07" "A1EF" -10.5676710654624 0 0 0.41669221525624
"TCGA-CC-A8HT-01A-11R-A36F-07" "A8HT" 4.14329919684356 1 0.251609721039376 0.0966241040062419
"TCGA-DD-A116-01A-11R-A131-07" "A116" 2.75823052443944 1 0.208981142762012 0.26128425962561
"TCGA-G3-A5SI-01A-31R-A27V-07" "A5SI" 6.78141319812247 1 0.198703735430582 0.270759010603073
"TCGA-DD-A3A8-01A-11R-A22L-07" "A3A8" -8.62788233531228 0 0 0.47211559020344
"TCGA-G3-AAV4-01A-11R-A38B-07" "AAV4" -10.427813367944 0 0 0.41669221525624
"TCGA-ZP-A9D2-01A-11R-A38B-07" "A9D2" -0.425879968723001 1 0.0568330554454292 0.38045105996518
"TCGA-DD-AACZ-01A-11R-A41C-07" "AACZ" 2.3951630789554 1 0.174048165810955 0.29252765526165
"TCGA-DD-A3A4-01A-11R-A22L-07" "A3A4" -8.93972867220682 0 0 0.443985607882536
"TCGA-YA-A8S7-01A-11R-A37K-07" "A8S7" -2.33697499946056 2 0.110450707682411 0.343578485066525
"TCGA-DD-A4NN-01A-11R-A28V-07" "A4NN" -0.205254988014453 1 0.108187894584109 0.344774446067693
"TCGA-CC-A8HU-01A-11R-A36F-07" "A8HU" 6.35380444026872 1 0.227398462471817 0.124933479977173
"TCGA-DD-A1ED-01A-11R-A155-07" "A1ED" -11.4460869279548 0 0 0.608461195463274
"TCGA-ZS-A9CE-01A-11R-A37K-07" "A9CE" 6.47140871190137 1 0.193227876099127 0.275708637589887
"TCGA-DD-AADP-01A-11R-A39D-07" "AADP" 1.60682648351687 1 0.326063117623213 0.132948357546679
"TCGA-DD-A4NA-01A-11R-A266-07" "A4NA" -11.4194115515541 0 0 0.602324082976832
"TCGA-DD-AAC9-01A-11R-A41C-07" "AAC9" -4.98729851901756 2 0.27828548221846 0.190927604080895
"TCGA-BD-A3EP-01A-11R-A22L-07" "A3EP" -5.25140004707798 2 0.192318953209309 0.277042223051653
"TCGA-DD-AAEI-01A-11R-A41C-07" "AAEI" 0.783906176459463 1 0.337508660689684 0.11796872486969
"TCGA-DD-A4NV-01A-11R-A311-07" "A4NV" -3.09252641779888 2 0.203412202437873 0.266974342491643
"TCGA-WX-AA46-01A-11R-A39D-07" "AA46" -6.24857417444518 2 0.376351389110348 0.0637046505432999
"TCGA-FV-A3I0-01A-11R-A22L-07" "A3I0" 3.10927767375795 1 0.279480892697734 0.0616796529651913
"TCGA-DD-AAVP-01A-11R-A41C-07" "AAVP" 2.12092110643775 1 0.15853872531509 0.305567471309392
"TCGA-ZP-A9CY-01A-11R-A38B-07" "A9CY" -2.66271264697579 2 0.00240044987685724 0.414675664199093
"TCGA-ED-A97K-01A-21R-A38B-07" "A97K" -4.2915490548003 2 0.329269331342015 0.129428067991236
"TCGA-DD-AAEE-01A-11R-A41C-07" "AAEE" 10.1608803788246 0 0 0.504918739040499
"TCGA-BC-A8YO-01A-11R-A37K-07" "A8YO" 5.39286780276141 1 0.317146405128209 0.00992285332259324
"TCGA-DD-A1EC-01A-21R-A131-07" "A1EC" -11.3494913376819 0 0 0.585285614088783
"TCGA-DD-AACV-01A-11R-A41C-07" "AACV" 6.95853475711001 1 0.223991207658078 0.128775671769474
"TCGA-KR-A7K7-01A-11R-A33J-07" "A7K7" 3.59823721568372 1 0.275715991583136 0.0665571364928518
"TCGA-DD-AACE-01A-11R-A41C-07" "AACE" -3.82768089139665 2 0.315903791573072 0.146436879961916
"TCGA-EP-A26S-01A-11R-A16W-07" "A26S" -9.45279592616983 0 0 0.426472488716722
"TCGA-DD-AACK-01A-11R-A41C-07" "AACK" 2.30762631909736 1 0.163464582839009 0.301478372837132
"TCGA-XR-A8TE-01A-11R-A36F-07" "A8TE" -10.9468415309311 0 0 0.462586492084701
"TCGA-ZP-A9D4-01A-11R-A37K-07" "A9D4" 5.10639100624082 1 0.214244444818883 0.139582616564211
"TCGA-DD-AAE2-01A-11R-A41C-07" "AAE2" -2.78894788608052 2 0.104735982919947 0.347768610230094
"TCGA-DD-AAEB-01A-11R-A41C-07" "AAEB" -4.23536187520326 2 0.309669132031945 0.154145756527096
"TCGA-BC-A3KG-01A-11R-A213-07" "A3KG" 5.57230806374271 1 0.223713692160741 0.129087126770418
"TCGA-DD-AADR-01A-11R-A41C-07" "AADR" 10.0318839261476 0 0 0.453333408822249
"TCGA-CC-A9FW-01A-11R-A37K-07" "A9FW" 4.17967938312611 1 0.220198954574435 0.13301252572685
"TCGA-DD-AAW0-01A-11R-A41C-07" "AAW0" -5.99361562615678 2 0.288529556406118 0.179278212708971
"TCGA-DD-AAEH-01A-11R-A41C-07" "AAEH" -5.79406431452516 2 0.304664063592453 0.16023426447951
