"barcodes" "embedding" "cluster" "membership_prob" "outlier_scores"
"TCGA-B5-A1MW-01A-11R-A32Y-07" "A1MW" -3.44219234131439 1 0.515156100332256 0.164969532487973
"TCGA-QS-A5YR-01A-31R-A31O-07" "A5YR" 5.57042318676779 2 0.525243169852862 0.112767137103711
"TCGA-B5-A0JN-01A-11R-A104-07" "A0JN" -9.094950423517 1 0.25991468447458 0.452955733998744
"TCGA-2E-A9G8-01A-11R-A40A-07" "A9G8" -2.96127881087265 1 0.538985461407889 0.121807677809233
"TCGA-B5-A5OD-01A-11R-A31O-07" "A5OD" -8.62799557228225 1 0.425944108224259 0.294738658708737
"TCGA-EO-A22U-01A-11R-A180-07" "A22U" -3.43485246576862 1 0.517765850084373 0.160450523297145
"TCGA-A5-A3LO-01A-11R-A22K-07" "A3LO" -3.12189407865015 1 0.541955318873453 0.116113678660843
"TCGA-E6-A8L9-01A-21R-A37O-07" "A8L9" -6.24622481391441 1 0.489326309392693 0.207205235639923
"TCGA-PG-A6IB-01A-21R-A31O-07" "A6IB" -6.12362116296003 1 0.503241758909672 0.184997057479528
"TCGA-QS-A744-01A-11R-A34R-07" "A744" 8.41061694632329 2 0.490899899197635 0.172618781793305
"TCGA-EY-A547-01A-11R-A27V-07" "A547" -1.66468348202361 1 0.159258052101556 0.518449829674949
"TCGA-PG-A916-01A-11R-A37O-07" "A916" 6.0527764032964 2 0.463164846878547 0.215364606542978
"TCGA-EY-A2OO-01A-11R-A19W-07" "A2OO" -6.97640470763349 1 0.521430992229544 0.154020796089452
"TCGA-AX-A05W-01A-21R-A466-07" "A05W" 9.63591470884307 2 0.411037064951953 0.284810916740202
"TCGA-EO-A3L0-01A-11R-A22K-07" "A3L0" -3.4427556568641 1 0.514955809113821 0.1653143449255
"TCGA-EY-A1GP-01A-11R-A13S-07" "A1GP" 0.039207305459928 0 0 0.646751696716343
"TCGA-H5-A2HR-01A-11R-A180-07" "A2HR" -7.80097285566606 1 0.481603154687548 0.219016412096623
"TCGA-KP-A3W1-01A-11R-A22K-07" "A3W1" -5.8620329397579 1 0.509455251229885 0.174673810646293
"TCGA-EY-A3L3-01A-11R-A22K-07" "A3L3" -6.0490778987883 1 0.498667972869231 0.19243254709457
"TCGA-EO-A3KW-01A-11R-A22K-07" "A3KW" -3.60874224836554 1 0.504661054542887 0.182661827980647
"TCGA-BK-A6W3-01A-12R-A34R-07" "A6W3" -4.44140990444049 1 0.552986136004779 0.0943023006234112
"TCGA-SL-A6JA-01A-11R-A31O-07" "A6JA" 3.77576372731311 2 0.334672491598871 0.366898472899069
"TCGA-EY-A2OQ-01A-11R-A19W-07" "A2OQ" 9.27254044680223 2 0.528411993081407 0.106805399180297
"TCGA-5S-A9Q8-01A-11R-A40A-07" "A9Q8" 5.07766769873974 2 0.578780138408988 0
"TCGA-B5-A11R-01A-11R-A118-07" "A11R" 8.95598478848655 2 0.518398337591682 0.125377060609297
"TCGA-BG-A3PP-01A-11R-A22K-07" "A3PP" 9.98671054980518 2 0.297725141345181 0.40020654819134
"TCGA-SJ-A6ZI-01A-12R-A34R-07" "A6ZI" -0.0209473231259294 0 0 0.640034060921878
"TCGA-B5-A3FC-01A-11R-A22K-07" "A3FC" 5.39951486133917 2 0.535212562043951 0.0937365617208369
"TCGA-EO-A22Y-01A-11R-A180-07" "A22Y" -2.07857735110178 1 0.253268344318781 0.457824741820312
"TCGA-AX-A3FS-01A-11R-A22K-07" "A3FS" -4.0292555099289 1 0.583534662231263 0.0278676482921861
"TCGA-AX-A3FT-01A-11R-A22K-07" "A3FT" -4.06809831106391 1 0.595140571790089 0
"TCGA-AJ-A6NU-01A-11R-A34R-07" "A6NU" -6.87611470524085 1 0.541961692449357 0.133551654884425
"TCGA-AJ-A3IA-01A-11R-A213-07" "A3IA" -5.59607969963713 1 0.509214723738467 0.175078292295454
"TCGA-A5-A2K3-01A-11R-A32Y-07" "A2K3" 1.82248743714935 2 0.0403147691131664 0.561085397550853
"TCGA-AJ-A2QM-01A-11R-A18M-07" "A2QM" -8.82900801518931 1 0.354472573076644 0.372823816116522
"TCGA-BK-A6W4-01A-12R-A34R-07" "A6W4" 10.5336639632499 2 0.121051600317065 0.520768384420565
"TCGA-A5-A2K2-01A-11R-A18M-07" "A2K2" 1.01726490270625 2 0 0.578780138408988
"TCGA-D1-A3DA-01A-12R-A213-07" "A3DA" 0.323540891580373 0 0 0.669516309951581
"TCGA-D1-A3DH-01A-11R-A19W-07" "A3DH" -9.82595592893596 1 0 0.595140571790089
"TCGA-AJ-A3NG-01A-11R-A22K-07" "A3NG" -3.1841912280903 1 0.538964368505962 0.121847856101884
"TCGA-EO-A3B0-01A-12R-A19W-07" "A3B0" -5.63043774116413 1 0.508250925747688 0.176695088190077
"TCGA-EO-A3B1-01A-12R-A19W-07" "A3B1" -10.229425117486 0 0 0.645933717970615
"TCGA-EO-A3AS-01A-11R-A19W-07" "A3AS" 1.8180571054439 2 0.03888371050545 0.561738921507062
